intervalo;setor;endereco;turno;rota_setor;frequencia
07:30 ÌÊ 12:00 hs;6-02 A;R OLÌMPIO CHACON;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R TURIAÌàÌ_;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R MARIÌPOLIS;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R GARDÌ_NIA;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R PORTO UNIÌÄO;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R APRÌGIO ALVES;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R ABC;MANHÌÄ;7;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;8;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R PORTO UNIÌÄO;TARDE;9;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R APRÌGIO ALVES;TARDE;10;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R ABC;TARDE;11;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;12;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R OLÌMPIO CHACON;TARDE;13;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R DJALMA HONÌÒRIO;TARDE;14;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;15;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;16;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R GARDÌ_NIA;TARDE;17;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R APRÌGIO ALVES;TARDE;18;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R GARDÌ_NIA;TARDE;19;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R MARIÌPOLIS;TARDE;20;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;21;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;R DOS PRAZERES;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;TV DOS PRAZERES;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;2å» TV DOS PRAZERES;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;4å» TV DOS PRAZERES;MANHÌÄ;4;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R SÌÄO SILVESTRE;TARDE;5;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R A MURALHA;TARDE;6;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R TERRA NOSTRA;TARDE;7;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R VEREADOR TOMAZ LOBO;TARDE;8;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV MARTIN LUTHER KING;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R BAHIA FORMOSA;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEIÌàÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R IBIPORÌÄ;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEIÌàÌÄO DE MAÌàABU;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R MIRANDÌÒPOLIS;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R HORTÌ_NCIA;MANHÌÄ;10;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;TV DO CAMPO;MANHÌÄ;11;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R NOVA AURORA;MANHÌÄ;12;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R HORTÌ_NCIA;TARDE;13;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R HORTÌ_NCIA;TARDE;13;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;AV CENTRAL;TARDE;14;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R BRASLÌâNDIA;TARDE;15;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R ITAGUAI;TARDE;16;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R BRASLÌâNDIA;TARDE;17;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R ESPERANTINA;TARDE;18;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R MIRANDÌÒPOLIS;TARDE;19;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R DIAMANTE DO NORTE;TARDE;20;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R GUAPIRAMA;TARDE;21;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R MIRANDÌÒPOLIS;TARDE;22;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R DOURADINA;TARDE;23;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R CAMBUÌ;TARDE;24;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R CAIBI;TARDE;25;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R CAETITE;TARDE;26;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R ITABAPOANA;TARDE;27;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R BUQUIM;TARDE;28;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;AV MARTIN LUTHER KING;TARDE;29;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R DA DIVISA;TARDE;30;DIARIA
13:00 ÌÊ 17:20 hs;6-04 A;R IBIRAMA;TARDE;31;DIARIA
07:30 ÌÊ 12:00 hs;6-04 B;TV DO TAVARES;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-04 B;TV DA TRINDADE;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-04 B;TV AZUL;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-04 B;R AZUL;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 B;TV DA BELA VISTA;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;AV VEREADOR OTACÌLIO AZEVEDO;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R EMBAIXADOR ASSIS CHATEAUBRIAND;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R CRAVEIRO LEITE;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R EMBAIXADOR ASSIS CHATEAUBRIAND;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R POETA SOLANO TRINDADE;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;ESTR DOS MACACOS;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;ESTR DE PAU FERRO;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;ROTATÌÒRIA;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R DOIS IRMÌÄOS;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R LUÌS ANTÌÓNIO DE ARAÌ_JO;MANHÌÄ;10;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R ANTÌÓNIO FELIPE;MANHÌÄ;11;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R DO AFETO;MANHÌÄ;12;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;TV ARNALDO PAES DE ANDRADE;MANHÌÄ;13;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R BARÌÄO CAPIBARIBE;MANHÌÄ;14;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R REITOR MANOEL RODRIGUES;MANHÌÄ;15;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R BARÌÄO CAPIBARIBE;MANHÌÄ;16;DIARIA
07:30 ÌÊ 12:00 hs;06/ago;R SÌTIO SÌÄO BRAZ;MANHÌÄ;17;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R DOIS IRMÌÄOS;TARDE;18;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;ESTR DOS PINTOS;TARDE;19;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R PROFESSOR CLÌUDIO SELVA;TARDE;20;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R DA MEIGUICE;TARDE;21;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R SANTO ANTÌÓNIO;TARDE;22;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;3å» TV ARNALDO PAES DE ANDRADE;TARDE;23;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R ARNALDO PAES DE MACHADO;TARDE;24;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R SANTA MARIA DE FÌTIMA;TARDE;25;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R PROFESSOR CLÌUDIO SELVA;TARDE;26;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R DA CONQUISTA;TARDE;27;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R JOÌÄO LIMOEIRO;TARDE;28;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;TV ALTO SÌÄO JOSÌä;TARDE;29;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R SÌTIO SAPUCAIA;TARDE;30;DIARIA
13:00 ÌÊs 17:20 hs;06/ago;R DOIS IRMÌÄOS;TARDE;31;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV NORTE;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA CÌâNDIDA;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CÌâNDIDA;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA MARIA;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA CÌâNDIDA;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV JOSÌä AMERICO DE ALMEIDA;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;VALDEMAR;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;DA MACAÌBA;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R NATÌLIA SOUZA ALVES DE MELO;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV JOSÌä AMERICO DE ALMEIDA;MANHÌÄ;10;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA CÌâNDIDA;MANHÌÄ;11;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CÌâNDIDA;MANHÌÄ;12;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA AMÌLIA;MANHÌÄ;13;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R FLÌVIO GUERRA;MANHÌÄ;14;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ITABERABA;MANHÌÄ;15;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R FLÌVIO GUERRA;MANHÌÄ;16;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CÌâNDIDA;MANHÌÄ;17;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA AMÌLIA;MANHÌÄ;18;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R AMALITA;MANHÌÄ;19;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA AMÌLIA;MANHÌÄ;20;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ALTO DO CRUZEIRO;MANHÌÄ;21;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARGARIDA M ALVES;MANHÌÄ;22;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA AMÌLIA;MANHÌÄ;23;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R AMALITA;MANHÌÄ;24;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV JOSÌä AMERICO DE ALMEIDA;MANHÌÄ;25;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;TV MADRE LINCH;MANHÌÄ;26;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;1å» TV IDA;MANHÌÄ;27;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MADRE LINCH;MANHÌÄ;28;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ANA;MANHÌÄ;29;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;PÌàA OTHON BEZERRA DE MELO;MANHÌÄ;30;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA;MANHÌÄ;31;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;IDA MARIA;MANHÌÄ;32;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;1å» TV IDA;MANHÌÄ;33;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R REGINA;MANHÌÄ;34;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA DO CARMO;MANHÌÄ;35;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA;MANHÌÄ;36;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R REGINA;MANHÌÄ;37;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA;MANHÌÄ;38;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CARMEN;MANHÌÄ;39;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA;MANHÌÄ;40;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MARIA DO CARMO;MANHÌÄ;41;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;TV MADRE LINCH;MANHÌÄ;42;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;1å» TV IDA;MANHÌÄ;43;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R DA MACAÌBA;MANHÌÄ;44;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R IDA;MANHÌÄ;45;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV NORTE;MANHÌÄ;46;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R TIJUCAL;MANHÌÄ;47;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV NORTE;MANHÌÄ;48;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MESTRE PAVÌÄO;MANHÌÄ;49;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV NORTE;MANHÌÄ;50;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ITORORÌÒ;MANHÌÄ;51;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ERUNDINA NEGREIROS DE ARAÌ_JO;MANHÌÄ;52;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R SABINO CAMPOS;MANHÌÄ;53;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R DULCINÌäIA;MANHÌÄ;54;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R SABINO CAMPOS;MANHÌÄ;55;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R TRAJANO DE MORAIS;MANHÌÄ;56;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CLARÌNIA;MANHÌÄ;57;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R DORALICE;MANHÌÄ;58;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R FERRAZ DE VASCONCELOS;MANHÌÄ;59;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R NOVE DE MARÌàO;MANHÌÄ;60;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R POPULAR;MANHÌÄ;61;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R ALTO TRÌ_S MORROS;MANHÌÄ;62;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV DA RECUPERAÌàÌÄO;MANHÌÄ;63;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CÌÒRREGO JOSÌä APRÌGIO;MANHÌÄ;64;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;AV DA RECUPERAÌàÌÄO;MANHÌÄ;65;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R CÌÒRREGO DO MARRECO;MANHÌÄ;66;DIARIA
07:30 ÌÊ 12:00 hs;6-10 A;R MACIEIRA;MANHÌÄ;67;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R ALTO DO VENÌâNCIO;TARDE;68;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;1å» LD DO MARRECO;TARDE;69;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R ALTO DA LOIRA;TARDE;70;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R CÌÒRREGO DO MARRECO;TARDE;71;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;AV DA RECUPERAÌàÌÄO;TARDE;72;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R CÌÒRREGO DA LOIRA;TARDE;73;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R AVEIRO;TARDE;74;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R CÌÒRREGO DA LOIRA;TARDE;75;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R MIRAI;TARDE;76;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R ARACARI;TARDE;77;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R CÌÒRREGO DA LOIRA;TARDE;78;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;AV DA RECUPERAÌàÌÄO;TARDE;79;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;AV DA RECUPERAÌàÌÄO;TARDE;80;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R ERUNDINA NEGREIROS DE ARAÌ_JO;TARDE;81;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R CÌÒRREGO DO FERNANDINHO;TARDE;82;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;AV DA RECUPERAÌàÌÄO;TARDE;83;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;R DO ALECRIM;TARDE;84;DIARIA
13:00 ÌÊ 17:20 hs;6-10 A;AV NORTE;TARDE;85;DIARIA
07:30 ÌÊ 12:00 hs;6-10 B;R RANUSIA ALVES RODRIGUES;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-10 B;R SÌÓNIA MARIA LOPES DE MORAIS;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-10 B;R RANUSIA ALVES RODRIGUES;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-10 B;R PAULINE REICHSTUE;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-10 B;R CARLOS MARICHELA;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R SENADOR OSCAR PASSOS;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CÌÒRREGO DO JOAQUIM;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R SENADOR OSCAR PASSOS;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALTO DA QUEIMADA;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R PIORINI;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R BAIANÌÒPOLIS;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ITAUM;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R SÌäLVES;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CUNHA PORA;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CÌÒRREGO DO INÌCIO;MANHÌÄ;10;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R HERVAL SECO;MANHÌÄ;11;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R PEQUIZEIRO;MANHÌÄ;12;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R NOBRES;MANHÌÄ;13;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CÌÒRREGO DO INÌCIO;MANHÌÄ;14;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R PLÌNIO COELHO;MANHÌÄ;15;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALTO DA BRASILEIRA;MANHÌÄ;16;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R LONTRAS;MANHÌÄ;17;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;SUBIDA ALTO DO RESEVATÌÒRIO;MANHÌÄ;18;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R BENTO DE ABREU;MANHÌÄ;19;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CÌÒRREGO DO BOLEIRO;MANHÌÄ;20;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;SUBIDA ALTO DO RESEVATÌÒRIO;MANHÌÄ;21;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALTO SANTA LUZIA;MANHÌÄ;22;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R FRUTAL;MANHÌÄ;23;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALTO JOSÌä IDALINO;MANHÌÄ;24;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALTO JOSÌä IDALINO;MANHÌÄ;25;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R CURVELA;MANHÌÄ;26;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R GIMIRIM;MANHÌÄ;27;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R MIRAI;MANHÌÄ;28;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R FRUTAL;MANHÌÄ;29;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R DOM FELICIANO;MANHÌÄ;30;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R DOM FELICIANO;MANHÌÄ;31;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;TV ERVAL SECO;MANHÌÄ;32;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R PORTELÌâNDIA;MANHÌÄ;33;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R ALPESTRE;MANHÌÄ;34;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R PORTELÌâNDIA;MANHÌÄ;35;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R SANTA BRÌGIDA;MANHÌÄ;36;DIARIA
07:30 ÌÊ 12:00 hs;06/dez;R TEOLÌâNDIA;MANHÌÄ;37;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R XAVANTINA;TARDE;38;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R SANTA BRÌGIDA;TARDE;39;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R FRANCISCO CAMERINO;TARDE;40;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R CAMPESTRE;TARDE;41;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R ALTO DO REFÌ_GIO;TARDE;42;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R AGROLÌâNDIA;TARDE;43;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R FLORESTA AZUL;TARDE;44;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R PINDAÌ;TARDE;45;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R CAMPANÌRIO;TARDE;46;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R FRANCISCO CAMERINO;TARDE;47;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R CABO HERMITO SÌ;TARDE;48;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R RENASCENÌàA;TARDE;49;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R CABO HERMITO SÌ;TARDE;50;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R NOVA;TARDE;51;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R PRESIDENTE COSTA E SILVA;TARDE;52;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R PARALELA ALEXANDRINA;TARDE;53;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R PRESIDENTE COSTA E SILVA;TARDE;54;DIARIA
13:00 ÌÊ 17:20 hs;06/dez;R SENHOR DO BONFIM;TARDE;55;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R NOVA DESCOBERTA;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R NOVA DESCOBERTA;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R CÌÒRREGO DO ARCANJO;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R NOVA DESCOBERTA;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;3å» LD SUBIDA DA PACIÌ_NCIA;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R RITÌPOLIS;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R NOVA DESCOBERTA;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R BETINHA;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R ALTO JARDIM PROGRESSO;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R PRIMEIRA SUBIDA ALTO DO PROGRESSO;MANHÌÄ;10;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;LD SUBIDA DA PITOMBINHA;MANHÌÄ;11;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;TV DOM BASÌLIO;MANHÌÄ;12;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R DOM BASÌLIO;MANHÌÄ;13;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R PARATIGE;MANHÌÄ;14;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;TV DOM BASÌLIO;MANHÌÄ;15;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;LD SUBIDA DA PITOMBINHA;MANHÌÄ;16;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R PRIMEIRA SUBIDA ALTO DO PROGRESSO;MANHÌÄ;17;DIARIA
07:30 ÌÊ 12:00 hs;jun/14;R ALTO JARDIM PROGRESSO;MANHÌÄ;18;DIARIA
