"","Localidade","year","pop_total","pop_men","pop_women","pop_15to19_total","pop_15to19_men","pop_15to19_women","pop_20to24_total","pop_20to24_men","pop_20to24_women","pop_25to29_total","pop_25to29_men","pop_25to29_women","pop_young","pop_youngmen","pop_youngwomen","prop_young_total","prop_youngmen_men","prop_youngwom_woman","prop_youngmen_young","prop_youngwom_young"
"1","RPA1",2000,78098,35639,42459,8101,3923,4178,7479,3480,3999,6498,3005,3493,22078,10408,11670,0.281818181818182,0.294545454545455,0.270909090909091,0.479090909090909,0.520909090909091
"2","RPA2",2000,166019,77423,88596,16978,8476,8502,16197,7852,8345,14501,6888,7613,47676,23216,24460,0.282,0.294,0.270666666666667,0.480666666666667,0.519333333333333
"3","RPA3",2000,277082,129266,147816,28617,14021,14596,27408,13321,14087,24434,11648,12786,80459,38990,41469,0.292222222222222,0.302592592592593,0.284074074074074,0.481481481481481,0.518518518518518
"4","RPA4",2000,253015,117249,135766,25746,12709,13037,24796,11843,12953,22661,10443,12218,73203,34995,38208,0.283333333333333,0.2925,0.275,0.48,0.52
"5","RPA5",2000,240681,112817,127864,24304,12064,12240,23163,11269,11894,21797,10374,11423,69264,33707,35557,0.291333333333333,0.301333333333333,0.278666666666667,0.488666666666667,0.511333333333333
"6","RPA6",2000,353798,164170,189628,36226,17636,18590,35308,16881,18427,31240,14465,16775,102774,48982,53792,0.28875,0.29875,0.2825,0.48,0.52
